datetime,p1,116,115,101,104,107,lef
2022-11-01 00:00:00,0.0,0.0,79.0,330.0,1420.0,90.0,12.0
2022-11-01 00:05:00,0.0,-4.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 00:10:00,0.0,-4.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 00:15:00,0.0,-2.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 00:20:00,0.0,-3.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 00:25:00,0.0,0.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 00:30:00,0.0,-1.0,79.0,330.0,1420.0,90.0,12.0
2022-11-01 00:35:00,0.0,-1.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 00:40:00,0.0,-1.0,80.0,330.0,1420.0,90.0,12.0
2022-11-01 00:45:00,0.0,-3.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 00:50:00,0.0,-4.0,75.0,330.0,1420.0,90.0,12.0
2022-11-01 00:55:00,0.0,-2.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 01:00:00,0.0,-2.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 01:05:00,0.0,-2.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 01:10:00,0.0,-1.0,72.0,330.0,1420.0,90.0,12.0
2022-11-01 01:15:00,0.0,-2.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 01:20:00,0.0,-1.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 01:25:00,0.0,-2.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 01:30:00,0.0,-3.0,75.0,330.0,1420.0,90.0,12.0
2022-11-01 01:35:00,0.0,-2.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 01:40:00,0.0,-1.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 01:45:00,0.0,-2.0,70.0,330.0,1420.0,90.0,12.0
2022-11-01 01:50:00,0.0,-1.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 01:55:00,0.0,-1.0,75.0,330.0,1420.0,90.0,12.0
2022-11-01 02:00:00,0.0,1.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 02:05:00,0.0,0.0,75.0,330.0,1420.0,90.0,12.0
2022-11-01 02:10:00,0.0,-3.0,74.0,330.0,1420.0,90.0,12.0
2022-11-01 02:15:00,0.0,-2.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 02:20:00,0.0,-1.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 02:25:00,0.0,-1.0,73.0,330.0,1420.0,90.0,12.0
2022-11-01 02:30:00,0.0,-2.0,75.0,330.0,1420.0,90.0,12.0
2022-11-01 02:35:00,0.0,-2.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 02:40:00,0.0,-1.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 02:45:00,0.0,-3.0,73.0,330.0,1420.0,90.0,12.0
2022-11-01 02:50:00,0.0,-2.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 02:55:00,0.0,-5.0,76.0,330.0,1420.0,90.0,12.0
2022-11-01 03:00:00,0.0,-2.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 03:05:00,0.0,-3.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 03:10:00,0.0,-1.0,78.0,330.0,1420.0,90.0,12.0
2022-11-01 03:15:00,0.0,-2.0,77.0,330.0,1420.0,90.0,12.0
2022-11-01 03:20:00,0.0,-1.0,77.0,330.0,1420.0,90.0,12.0
